"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/6/2020 10 p.m. EDT",81,105,0,-81
HST,"7/6/2020 11 p.m. EDT",76,97,0,-76
HST,"7/7/2020 12 a.m. EDT",70,91,0,-70
HST,"7/7/2020 1 a.m. EDT",63,67,0,-63
HST,"7/7/2020 2 a.m. EDT",58,64,0,-58
HST,"7/7/2020 3 a.m. EDT",54,62,0,-54
HST,"7/7/2020 4 a.m. EDT",52,60,0,-52
HST,"7/7/2020 5 a.m. EDT",52,60,0,-52
HST,"7/7/2020 6 a.m. EDT",54,60,0,-54
HST,"7/7/2020 7 a.m. EDT",54,63,0,-54
HST,"7/7/2020 8 a.m. EDT",55,67,0,-55
HST,"7/7/2020 9 a.m. EDT",61,76,0,-61
HST,"7/7/2020 10 a.m. EDT",69,85,0,-69
HST,"7/7/2020 11 a.m. EDT",77,91,0,-77
HST,"7/7/2020 12 p.m. EDT",85,98,0,-85
HST,"7/7/2020 1 p.m. EDT",91,104,0,-91
HST,"7/7/2020 2 p.m. EDT",98,110,0,-98
HST,"7/7/2020 3 p.m. EDT",101,114,0,-101
HST,"7/7/2020 4 p.m. EDT",104,117,0,-104
HST,"7/7/2020 5 p.m. EDT",106,116,0,-106
HST,"7/7/2020 6 p.m. EDT",106,118,0,-106
HST,"7/7/2020 7 p.m. EDT",106,118,0,-106
HST,"7/7/2020 8 p.m. EDT",104,114,0,-104
HST,"7/7/2020 9 p.m. EDT",102,112,0,-102
HST,"7/7/2020 10 p.m. EDT",98,104,0,-98
HST,"7/7/2020 11 p.m. EDT",91,94,0,-91
HST,"7/8/2020 12 a.m. EDT",84,91,0,-84
HST,"7/8/2020 1 a.m. EDT",76,78,0,-76
HST,"7/8/2020 2 a.m. EDT",70,71,0,-70
HST,"7/8/2020 3 a.m. EDT",66,68,0,-66
HST,"7/8/2020 4 a.m. EDT",63,64,0,-63
HST,"7/8/2020 5 a.m. EDT",61,62,0,-61
HST,"7/8/2020 6 a.m. EDT",61,64,0,-61
HST,"7/8/2020 7 a.m. EDT",61,62,0,-61
HST,"7/8/2020 8 a.m. EDT",61,64,0,-61
HST,"7/8/2020 9 a.m. EDT",66,71,0,-66
HST,"7/8/2020 10 a.m. EDT",74,80,0,-74
HST,"7/8/2020 11 a.m. EDT",81,90,0,-81
HST,"7/8/2020 12 p.m. EDT",91,98,0,-91
HST,"7/8/2020 1 p.m. EDT",100,105,0,-100
HST,"7/8/2020 2 p.m. EDT",105,108,0,-105
HST,"7/8/2020 3 p.m. EDT",97,108,0,-97
HST,"7/8/2020 4 p.m. EDT",86,109,0,-86
HST,"7/8/2020 5 p.m. EDT",87,109,0,-87
HST,"7/8/2020 6 p.m. EDT",89,111,0,-89
HST,"7/8/2020 7 p.m. EDT",93,110,0,-93
HST,"7/8/2020 8 p.m. EDT",91,108,0,-91
HST,"7/8/2020 9 p.m. EDT",90,106,0,-90
HST,"7/8/2020 10 p.m. EDT",89,102,0,-89
HST,"7/8/2020 11 p.m. EDT",85,95,0,-85
HST,"7/9/2020 12 a.m. EDT",79,90,0,-79
HST,"7/9/2020 1 a.m. EDT",71,77,0,-71
HST,"7/9/2020 2 a.m. EDT",66,72,0,-66
HST,"7/9/2020 3 a.m. EDT",62,67,0,-62
HST,"7/9/2020 4 a.m. EDT",59,64,0,-59
HST,"7/9/2020 5 a.m. EDT",58,62,0,-58
HST,"7/9/2020 6 a.m. EDT",60,62,0,-60
HST,"7/9/2020 7 a.m. EDT",60,63,0,-60
HST,"7/9/2020 8 a.m. EDT",59,62,0,-59
HST,"7/9/2020 9 a.m. EDT",64,68,0,-64
HST,"7/9/2020 10 a.m. EDT",72,77,0,-72
HST,"7/9/2020 11 a.m. EDT",80,85,0,-80
HST,"7/9/2020 12 p.m. EDT",86,94,0,-86
HST,"7/9/2020 1 p.m. EDT",93,103,0,-93
HST,"7/9/2020 2 p.m. EDT",99,107,0,-99
HST,"7/9/2020 3 p.m. EDT",105,111,0,-105
HST,"7/9/2020 4 p.m. EDT",110,112,0,-110
HST,"7/9/2020 5 p.m. EDT",113,112,0,-113
HST,"7/9/2020 6 p.m. EDT",115,112,0,-115
HST,"7/9/2020 7 p.m. EDT",114,112,0,-114
HST,"7/9/2020 8 p.m. EDT",110,109,0,-110
HST,"7/9/2020 9 p.m. EDT",106,106,0,-106
HST,"7/9/2020 10 p.m. EDT",102,103,0,-102
HST,"7/9/2020 11 p.m. EDT",95,96,0,-95
HST,"7/10/2020 12 a.m. EDT",87,89,0,-87
HST,"7/10/2020 1 a.m. EDT",79,79,0,-79
HST,"7/10/2020 2 a.m. EDT",73,74,0,-73
HST,"7/10/2020 3 a.m. EDT",68,69,0,-68
HST,"7/10/2020 4 a.m. EDT",65,66,0,-65
HST,"7/10/2020 5 a.m. EDT",61,64,0,-61
HST,"7/10/2020 6 a.m. EDT",62,64,0,-62
HST,"7/10/2020 7 a.m. EDT",62,63,0,-62
HST,"7/10/2020 8 a.m. EDT",63,65,0,-63
HST,"7/10/2020 9 a.m. EDT",69,67,0,-69
HST,"7/10/2020 10 a.m. EDT",78,75,0,-78
HST,"7/10/2020 11 a.m. EDT",84,84,0,-84
HST,"7/10/2020 12 p.m. EDT",93,89,0,-93
HST,"7/10/2020 1 p.m. EDT",100,95,0,-100
HST,"7/10/2020 2 p.m. EDT",104,102,0,-104
HST,"7/10/2020 3 p.m. EDT",98,109,0,-98
HST,"7/10/2020 4 p.m. EDT",89,112,0,-89
HST,"7/10/2020 5 p.m. EDT",92,117,0,-92
HST,"7/10/2020 6 p.m. EDT",92,118,0,-92
HST,"7/10/2020 7 p.m. EDT",88,118,0,-88
HST,"7/10/2020 8 p.m. EDT",89,112,0,-89
HST,"7/10/2020 9 p.m. EDT",87,109,0,-87
